question,type,option_a,option_b,option_c,option_d,correct_answer,difficulty,explanation,points,category
"Khi viết prompt, Phương pháp 1 yêu cầu bạn làm gì đầu tiên?",single_choice,Nêu rõ mục tiêu — AI cần tạo ra CÁI GÌ để LÀM GÌ,Viết thật ngắn gọn để AI không bị rối,Đặt câu hỏi bằng tiếng Anh để AI hiểu tốt hơn,Copy prompt của người khác và chỉnh lại,A,easy,PP1 — Nêu rõ mục tiêu: mỗi prompt phải trả lời câu hỏi Tôi muốn AI tạo ra CÁI GÌ để LÀM GÌ. Prompt mơ hồ cho kết quả mơ hồ.,1,
Phương pháp 3 hướng dẫn AI đóng vai một nhân vật hoặc chuyên gia. Phương pháp này có tên là gì?,single_choice,Brand Voice,Persona,Few Shot,Chain of Thought,B,easy,PP3 — Đóng vai Persona: yêu cầu AI đóng vai một chuyên gia cụ thể giúp nhận được câu trả lời phù hợp chuyên môn và góc nhìn của vai đó.,1,
"Trong demo mở đầu video, gửi prompt 'Viết email xin nghỉ phép' không có thêm thông tin cho kết quả như thế nào?",single_choice,AI từ chối vì prompt quá ngắn,AI trả về email chung chung không biết nghỉ mấy ngày hay lý do gì,AI hỏi ngược lại để làm rõ thông tin,AI tạo ra 3 mẫu email để lựa chọn,B,easy,Demo minh hoạ tác động của prompt thiếu thông tin. Kết quả không dùng được vì AI không biết ngữ cảnh cụ thể — đây là lỗi phổ biến nhất khi mới dùng AI.,1,
Phương pháp 5 yêu cầu chỉ định định dạng đầu ra. Điều này có nghĩa là gì?,single_choice,Yêu cầu AI trả lời bằng ngôn ngữ lập trình cụ thể,"Chỉ định cách AI trình bày kết quả: danh sách, bảng, đoạn văn, JSON...",Đặt giới hạn thời gian để AI trả lời nhanh hơn,Yêu cầu AI dịch sang ngôn ngữ khác,B,easy,PP5 — Chỉ định định dạng đầu ra: kiểm soát cách AI trình bày giúp output sẵn sàng sử dụng ngay mà không cần chỉnh sửa thêm.,1,
Phương pháp 7 đề xuất cung cấp gì cho AI để nhận kết quả đúng phong cách hơn?,single_choice,Đặt câu hỏi rất dài và chi tiết,Ví dụ mẫu (output mong muốn) để AI học theo pattern,Từ khoá kỹ thuật bằng tiếng Anh,Nhiều câu hỏi con chia nhỏ trong một prompt,B,easy,PP7 — Đưa ví dụ mẫu: một ví dụ tốt đáng giá hơn một đoạn mô tả dài. AI cực kỳ giỏi học theo pattern khi được cung cấp mẫu cụ thể.,1,
"Khi viết prompt kết hợp PP2 (Ngữ cảnh) và PP3 (Persona) trong ví dụ tăng doanh số cho Sales FMCG, điều gì tạo nên sự khác biệt lớn nhất so với prompt không có 2 yếu tố này?",single_choice,Kết quả trả về nhanh hơn đáng kể,AI đưa ra 5 hành động cụ thể cho ngành FMCG tại Việt Nam thay vì lý thuyết chung,AI hỏi ngược lại nhiều câu hơn trước khi trả lời,Kết quả dài hơn nhưng không thực tế hơn,B,medium,"PP2 + PP3 kết hợp: ngữ cảnh (Sales Manager FMCG Bình Dương, doanh số giảm 20%, 2 đối thủ mới) + persona (chuyên gia tư vấn kinh doanh 15 năm) buộc AI trả lời thực chiến đúng tình huống thay vì tư vấn lý thuyết.",2,
"Trong ví dụ giải thích AI cho nhân viên văn phòng, PP6 (Đặt ràng buộc) đã loại bỏ điều gì để output trở nên phù hợp với đối tượng không chuyên?",single_choice,Loại bỏ các ví dụ thực tế để tập trung vào lý thuyết,"Cấm dùng các từ kỹ thuật như algorithm, machine learning và giới hạn tối đa 200 từ",Yêu cầu AI không dùng câu hỏi tu từ,Giới hạn AI chỉ trả lời bằng bullet point,B,medium,"PP6 — Đặt ràng buộc rõ ràng: prompt trong video cụ thể cấm 4 từ kỹ thuật (algorithm, machine learning, neural network, training data) và giới hạn 200 từ, buộc AI dùng ẩn dụ đời thường hoàn toàn.",2,
Tại sao PP9 (Chia nhỏ nhiệm vụ) và PP10 (Hỏi từng bước) thường cho kết quả tốt hơn khi yêu cầu một kế hoạch marketing phức tạp?,single_choice,Vì AI tốn ít tài nguyên hơn khi xử lý từng bước nhỏ,"Vì AI tập trung được vào từng phần, đi sâu hơn và không bỏ sót nội dung quan trọng",Vì ChatGPT có giới hạn độ dài câu trả lời nên cần chia nhỏ,Vì mỗi bước giúp AI reset lại ngữ cảnh và tránh bị nhầm lẫn,B,medium,"Nguyên tắc cốt lõi của PP9+10: khi yêu cầu quá lớn AI thường làm qua loa hoặc bỏ sót phần quan trọng. Chia nhỏ và hỏi từng bước giúp AI tập trung 100% vào từng phần, kết quả toàn diện và sâu sắc hơn.",2,
"Trong ví dụ caption Instagram (PP7), điều gì giúp AI tạo đúng phong cách thương hiệu mà không cần giải thích dài dòng về brand guidelines?",single_choice,Chỉ định tone: sang trọng và gần gũi,Cung cấp 2 caption mẫu đã được approve của thương hiệu làm tham chiếu,Yêu cầu AI viết 5 phiên bản rồi chọn cái tốt nhất,Nhập toàn bộ brand guidelines vào prompt,B,medium,"PP7 — Ví dụ mẫu: 2 caption đã approve cho trà xanh và nước ép cam đủ để AI nhận ra pattern (ngắn gọn, điệp ngữ, nguồn gốc sản phẩm, câu khẳng định giá trị) và áp dụng cho cà phê đen mà không cần giải thích thêm.",2,
"Trong video, prompt email xin nghỉ phép 'tốt' áp dụng đồng thời nhiều phương pháp cơ bản. Đáp án nào xác định ĐÚNG và ĐẦY ĐỦ nhất các phương pháp được sử dụng?",single_choice,PP1 (mục tiêu) + PP2 (ngữ cảnh) + PP5 (định dạng),PP1 (mục tiêu) + PP2 (ngữ cảnh) + PP4 (đối tượng) + PP5 (định dạng) + PP6 (ràng buộc),PP2 (ngữ cảnh) + PP3 (persona) + PP6 (ràng buộc) + PP7 (ví dụ mẫu),PP1 (mục tiêu) + PP3 (persona) + PP5 (định dạng) + PP9 (chia nhỏ),B,hard,"Prompt email tốt dùng đủ 5 PP: PP1 (mục tiêu: email xin nghỉ cho Trưởng phòng), PP2 (ngữ cảnh: lý do việc gia đình, 2 ngày thứ 5+6, đã bàn giao cho Minh), PP4 (đối tượng: Trưởng phòng Marketing), PP5 (định dạng: tối đa 100 từ, kết thúc bằng câu hỏi xác nhận), PP6 (ràng buộc: tone lịch sự nhưng không quá formal). Kết hợp 5 PP tạo ra output hoàn chỉnh sẵn sàng gửi.",3,
